query_id,query,category,language,fusion_strategy,vector_result_count,keyword_result_count,fused_candidate_count,final_result_count,filter_applied,where_json,filter_plan_json,retrieval_seconds,fusion_seconds,rerank_score_seconds,reranker_used
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,simple,50,50,50,10,False,null,{},31.460333310067654,0.0007442086935043335,0.2814556881785393,True
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,rrf,50,50,50,10,False,null,{},31.460333310067654,0.00015222281217575073,0.21683262661099434,True
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,weighted,50,50,50,10,False,null,{},31.460333310067654,0.00022391602396965027,0.21542159095406532,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,simple,50,50,50,10,False,null,{},1.4575290605425835,0.001137714833021164,0.2214922159910202,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,rrf,50,50,50,10,False,null,{},1.4575290605425835,0.00018453970551490784,0.2094617448747158,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,weighted,50,50,50,10,False,null,{},1.4575290605425835,0.0002302713692188263,0.20992477983236313,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,simple,50,50,50,10,False,null,{},6.281239241361618,0.0008226595818996429,0.2219477966427803,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,rrf,50,50,50,10,False,null,{},6.281239241361618,0.00018509849905967712,0.21271035447716713,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,weighted,50,50,50,10,False,null,{},6.281239241361618,0.00023414939641952515,0.21808703988790512,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,simple,50,50,50,10,False,null,{},0.7593188807368279,0.000952593982219696,0.23653417825698853,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,rrf,50,50,50,10,False,null,{},0.7593188807368279,0.00021536275744438171,0.21525782719254494,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,weighted,50,50,50,10,False,null,{},0.7593188807368279,0.00025101378560066223,0.21555815264582634,True
Q005,beta blocker therapy mortality in chronic heart failure,drug_treatment,en,simple,50,50,50,10,False,null,{},3.2424268387258053,0.0008835978806018829,0.23933421820402145,True
Q005,beta blocker therapy mortality in chronic heart failure,drug_treatment,en,rrf,50,50,50,10,False,null,{},3.2424268387258053,0.0001934431493282318,0.22654540464282036,True
Q005,beta blocker therapy mortality in chronic heart failure,drug_treatment,en,weighted,50,50,50,10,False,null,{},3.2424268387258053,0.0002284422516822815,0.23167216032743454,True
Q006,insulin sensitivity obesity and type 2 diabetes,drug_treatment,en,simple,50,50,50,10,False,null,{},4.675307355821133,0.0008319243788719177,0.24942835047841072,True
Q006,insulin sensitivity obesity and type 2 diabetes,drug_treatment,en,rrf,50,50,50,10,False,null,{},4.675307355821133,0.0001892782747745514,0.24506039917469025,True
Q006,insulin sensitivity obesity and type 2 diabetes,drug_treatment,en,weighted,50,50,50,10,False,null,{},4.675307355821133,0.00022527948021888733,0.24255014210939407,True
