query_id,query,category,language,fusion_strategy,vector_result_count,keyword_result_count,fused_candidate_count,final_result_count,filter_applied,where_json,filter_plan_json,retrieval_seconds,fusion_seconds,rerank_score_seconds,reranker_used
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,simple,50,50,50,10,False,null,{},14.935053370893002,0.0004941970109939575,0.28720397874712944,True
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,rrf,50,50,50,10,False,null,{},14.935053370893002,0.00014083459973335266,0.19664619117975235,True
Q001,metformin cardiovascular outcomes in type 2 diabetes,drug_treatment,en,weighted,50,50,50,10,False,null,{},14.935053370893002,0.00019812583923339844,0.19376690313220024,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,simple,50,50,50,10,False,null,{},0.1043536514043808,0.0006322488188743591,0.22657615318894386,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,rrf,50,50,50,10,False,null,{},0.1043536514043808,0.0001617521047592163,0.1958773471415043,True
Q002,aspirin secondary prevention after myocardial infarction,drug_treatment,en,weighted,50,50,50,10,False,null,{},0.1043536514043808,0.00020048022270202637,0.19963901862502098,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,simple,50,50,50,10,False,null,{},0.19480571895837784,0.0007211118936538696,0.2285805605351925,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,rrf,50,50,50,10,False,null,{},0.19480571895837784,0.00018800050020217896,0.19976705685257912,True
Q003,atorvastatin LDL cholesterol reduction and cardiovascular risk,drug_treatment,en,weighted,50,50,50,10,False,null,{},0.19480571895837784,0.0002302415668964386,0.20359425246715546,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,simple,50,50,50,10,False,null,{},0.07823777943849564,0.0005187205970287323,0.20693909749388695,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,rrf,50,50,50,10,False,null,{},0.07823777943849564,0.00019762292504310608,0.18630610033869743,True
Q004,warfarin anticoagulation stroke prevention in atrial fibrillation,drug_treatment,en,weighted,50,50,50,10,False,null,{},0.07823777943849564,0.00022727996110916138,0.1917024701833725,True
Q005,beta blocker therapy mortality in chronic heart failure,drug_treatment,en,simple,50,50,50,10,False,null,{},0.10891091451048851,0.0002616569399833679,0.21667073667049408,True
Q005,beta blocker therapy mortality in chronic heart failure,drug_treatment,en,rrf,50,50,50,10,False,null,{},0.10891091451048851,0.00015560537576675415,0.20285220816731453,True
